Date,Bananas,GDP,Inflation,Unemployment_Rate,LT_Interest_Rate,ST_Interest_Rate,Euribor1year
201911,,0.8,0.2,6.7,0.35,-0.4013,-0.272
201912,,0.8,0.4,6.8,0.41,-0.3947,-0.2614
202001,,-4.2,0.8,6.8,0.37,-0.3911,-0.2534
202002,,-4.2,0.5,6.5,0.25,-0.4088,-0.2881
202003,,-4.2,0.1,5.8,0.71,-0.4166,-0.2656
202004,,-15.0,-0.1,5.7,0.97,-0.254,-0.1082
202005,,-15.0,-0.6,6.1,0.81,-0.272,-0.0814
202006,,-15.0,0.2,7.5,0.53,-0.376,-0.1475
202007,,14.4,-0.1,8.2,0.4,-0.4441,-0.2789
202008,,14.4,-0.2,8.4,0.36,-0.4797,-0.3589
202009,,14.4,-0.8,8.2,0.32,-0.4914,-0.4146
202010,,0.2,-0.6,7.8,0.18,-0.5091,-0.466
202011,0.03547345309387719,0.2,-0.4,7.2,0.07,-0.5209,-0.4806
202012,0.03740486101614056,0.2,-0.3,6.9,0.03,-0.5381,-0.4966
202101,0.03578166490703676,-2.8,0.2,6.9,0.03,-0.5472,-0.5047
202102,0.0338135836890827,-2.8,0.3,6.8,0.16,-0.5411,-0.5009
202103,0.031089439762935517,-2.8,0.1,6.7,0.23,-0.5391,-0.4867
202104,0.025261443896339972,4.6,-0.1,7.2,0.35,-0.5382,-0.4835
202105,0.02141418536925604,4.6,0.5,7.3,0.53,-0.5401,-0.4806
202106,0.019844527835861114,4.6,-0.6,7.1,0.43,-0.5429,-0.4839
202107,0.02148832415957882,3.6,1.1,6.8,0.27,-0.5448,-0.4907
202108,0.02233738738967593,3.6,1.3,6.6,0.14,-0.5476,-0.4982
202109,0.02267365758910835,3.6,1.3,6.6,0.26,-0.545,-0.4923
202110,0.02382715501906971,1.9,1.8,6.4,0.39,-0.5498,-0.4768
202111,0.02466813733298999,1.9,2.6,6.3,0.39,-0.5674,-0.487
202112,0.02558710859670762,1.9,2.8,5.9,0.36,-0.582,-0.502
202201,0.022776816904787434,1.7,3.4,5.9,0.58,-0.5601,-0.4767
202202,0.023074170703165718,1.7,4.4,5.7,1.06,-0.5315,-0.3353
202203,0.023486591018781144,1.7,5.5,5.9,1.16,-0.4954,-0.2374
202204,0.026881777272927003,0.4,7.4,6.1,1.76,-0.4479,0.0131
202205,0.027910462852632174,0.4,8.1,6.3,2.14,-0.3857,0.2866
202206,0.029487175272036113,0.4,9.0,6.2,2.65,-0.2392,0.8522
202207,0.030301426396287197,1.0,9.4,6.2,2.26,0.0366,0.9915
202208,0.03462514617847209,1.0,9.3,6.2,2.16,0.3947,1.2495
202209,0.03555596485087858,1.0,9.8,6.3,2.89,1.0109,2.233
202210,0.038038811705027084,0.5,10.6,6.1,3.26,1.4277,2.6294
202211,0.04285852544505296,0.5,10.2,6.6,3.02,1.8252,2.8283
202212,0.047125792635071904,0.5,9.8,6.8,3.1,2.0635,3.0181
202301,0.04935007377880601,1.4,8.6,7.0,3.13,2.3449,3.337
202302,0.054082576447572944,1.4,8.6,6.9,3.27,2.6403,3.5336
202303,0.059177718641990416,1.4,8.0,6.8,3.27,2.9106,3.6466
202304,0.06404366745498748,0.2,6.9,6.6,3.2,3.167,3.7437
202305,0.06695051677046227,0.2,5.4,6.5,3.16,3.3664,3.8618
202306,0.06956437504684271,0.2,4.7,6.4,3.09,3.5359,4.0073
202307,0.07184507735315612,-0.1,4.3,6.4,3.23,3.6718,4.149
202308,0.07420952684416325,-0.1,5.3,6.4,3.31,3.7803,4.073
202309,0.07217077448423315,-0.1,4.8,6.6,3.45,3.88,4.1492
202310,0.07320755779522455,0.6,3.2,6.6,3.59,3.97,4.16
202311,0.07167816436169909,0.6,2.2,6.5,3.3,3.97,4.0221
202312,0.06969010369691901,0.6,1.9,6.4,2.85,3.93,3.6699
202401,0.05585946285941827,0.6,2.5,6.4,2.97,3.93,3.6092
202402,0.05066102277464418,0.6,2.3,6.5,3.06,3.92,3.6705
202403,0.05128320199337164,0.6,2.6,6.4,3.02,3.92,3.7162
202404,0.04858280468019065,0.4,2.3,6.4,3.13,3.89,3.7025
202405,0.04613979006721052,0.4,3.8,6.5,3.16,3.81,3.6821
202406,0.04655477391092153,0.4,3.1,6.5,3.19,3.72,3.6496
202407,0.04451810895236608,0.4,2.7,6.5,3.1,3.68,3.5259
202408,0.04427725783413868,0.4,1.8,6.3,2.88,3.55,3.17
202409,0.04036503801760403,0.4,2.6,6.5,2.78,3.43,2.94
202410,0.039506454786605916,1.4,2.6,6.6,2.73,3.17,2.69
202411,0.03794174985886776,1.4,2.7,6.6,2.79,3.01,2.51
202412,0.036262095661894846,1.4,3.1,6.4,2.68,2.82,2.431
202501,0.035308759715721394,-0.4,2.7,6.3,2.96,2.7,2.448
202502,0.03797412491968558,-0.4,2.5,6.3,2.95,2.52,2.436
202503,0.03343907704962734,-0.4,1.9,6.3,3.29,2.44,2.365
202504,0.036097959571190885,0.6,2.1,6.2,3.11,2.25,2.277
202505,0.03839634270427884,0.6,1.7,6.2,3.08,2.09,2.045
202506,0.034454649352211,0.6,2.1,6.1,3.02,1.98,2.057
202507,0.03559889233675685,1.85,2.5,5.9,3.11,1.99,2.07
202508,0.03636047985420032,1.85,2.5,6.0,3.12,2.02,2.147
202509,0.03648955114176941,1.85,1.9,6.0,3.13,2.03,2.148
202510,0.03858781227595357,1.78,2.0,5.9,3.02,2.03,2.204
202511,0.03858781227595357,1.78,2.0,6.2095872,3.03,2.04,2.199
202512,,1.78,2.2,6.2095872,3.22,2.42361471861472,2.227
202601,,1.69,2.45,6.4,3.1,3.05,2.249
202602,,1.69,2.3,6.88,3.1,3.05,2.252
202603,,1.69,2.15,6.66,3.1,3.05,2.265
202604,,1.59,2.05,6.54,3.0,2.95,2.268
202605,,1.59,1.9,6.42,3.0,2.95,2.347
202606,,1.59,1.8,6.2,3.0,2.95,2.339
202607,,1.92,1.75,6.08,2.9,2.85,2.324
202608,,1.92,1.8,6.16,2.9,2.85,2.304
202609,,1.92,2.0,6.34,2.9,2.85,2.292
202610,,2.15,1.9,6.47,2.85,2.8,2.154
202611,,2.15,1.85,6.55,2.85,2.8,2.075
202612,,2.15,1.8,6.6,2.85,2.8,1.972
202701,,1.3,,,,,1.959
202702,,1.3,,,,,1.953
202703,,1.3,,,,,1.887
202704,,1.76,,,,,
202705,,1.76,,,,,
202706,,1.76,,,,,
202707,,2.08,,,,,
202708,,2.08,,,,,
202709,,2.08,,,,,
202710,,2.14,,,,,
202711,,2.14,,,,,
202712,,2.14,,,,,
